%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1562019561020728763,15068,1562019561000000000,gpsRover,2,3,33.7744697747,-84.4054323257,276.747,0.000576,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.001156,2
1562019561080654656,15069,1562019561049999952,gpsRover,2,3,33.7744690188,-84.4054340792,276.748,0.000625,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.001444,2
1562019561120707601,15070,1562019561099999905,gpsRover,2,3,33.7744680903,-84.4054355268,276.749,0.000625,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.001444,2
1562019561170609966,15071,1562019561150000095,gpsRover,2,3,33.7744672162,-84.4054371303,276.745,0.000625,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.001444,2
1562019561220555508,15072,1562019561200000048,gpsRover,2,3,33.7744662723,-84.4054384447,276.728,0.000625,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.001444,2
1562019561270691818,15073,1562019561250000000,gpsRover,2,3,33.7744651708,-84.4054400718,276.735,0.000625,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.001444,2
1562019561320473980,15074,1562019561299999952,gpsRover,2,3,33.774464097,-84.405441322,276.746,0.000625,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.001444,2
1562019561370433358,15075,1562019561349999905,gpsRover,2,3,33.774463143,-84.4054427397,276.729,0.000625,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.001444,2
1562019561419422504,15076,1562019561400000095,gpsRover,2,3,33.7744620867,-84.4054440013,276.753,0.000625,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.001444,2
1562019561469390148,15077,1562019561450000048,gpsRover,2,3,33.7744610617,-84.4054452547,276.739,0.000625,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.001444,2
1562019561519392675,15078,1562019561500000000,gpsRover,2,3,33.7744598458,-84.4054465738,276.752,0.000625,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.001444,2
