%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1633034049370240015,11999,1633034049349999905,gpsRover,2,3,33.911093633,-84.5299954613,300.176,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034049422198070,12000,1633034049400000095,gpsRover,2,3,33.9110936438,-84.5299954847,300.178,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034049471177147,12001,1633034049450000048,gpsRover,2,3,33.9110936595,-84.5299955078,300.178,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034049520102257,12002,1633034049500000000,gpsRover,2,3,33.91109366,-84.529995506,300.181,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034049571172143,12003,1633034049549999952,gpsRover,2,3,33.9110936542,-84.5299954757,300.179,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034049621052346,12004,1633034049599999905,gpsRover,2,3,33.9110936452,-84.5299954415,300.177,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034049670937943,12005,1633034049650000095,gpsRover,2,3,33.9110936398,-84.5299954608,300.181,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034049720970433,12006,1633034049700000048,gpsRover,2,3,33.9110936512,-84.5299954782,300.176,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034049771023432,12007,1633034049750000000,gpsRover,2,3,33.91109364,-84.5299954665,300.18,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034049824143567,12008,1633034049799999952,gpsRover,2,3,33.911093645,-84.5299954848,300.176,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034049870891009,12009,1633034049849999905,gpsRover,2,3,33.9110936278,-84.5299954897,300.178,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034049920870591,12010,1633034049900000095,gpsRover,2,3,33.9110936272,-84.5299954888,300.178,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034049970764726,12011,1633034049950000048,gpsRover,2,3,33.9110936093,-84.529995494,300.183,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034050021832366,12012,1633034050000000000,gpsRover,2,3,33.9110936208,-84.5299955033,300.181,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034050087682724,12013,1633034050049999952,gpsRover,2,3,33.9110936268,-84.5299955152,300.179,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034050122767141,12014,1633034050099999905,gpsRover,2,3,33.911093612,-84.5299955192,300.181,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034050170632275,12015,1633034050150000095,gpsRover,2,3,33.9110936215,-84.5299954807,300.178,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034050220638289,12016,1633034050200000048,gpsRover,2,3,33.9110936163,-84.5299954838,300.176,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034050270601392,12017,1633034050250000000,gpsRover,2,3,33.9110936118,-84.5299954963,300.18,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034050320533907,12018,1633034050299999952,gpsRover,2,3,33.9110936167,-84.5299954965,300.177,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034050371444419,12019,1633034050349999905,gpsRover,2,3,33.9110936142,-84.5299955163,300.174,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034050420411523,12020,1633034050400000095,gpsRover,2,3,33.911093606,-84.5299955168,300.177,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034050470417562,12021,1633034050450000048,gpsRover,2,3,33.911093631,-84.5299955043,300.176,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034050521391882,12022,1633034050500000000,gpsRover,2,3,33.9110936405,-84.5299955028,300.177,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034050570261270,12023,1633034050549999952,gpsRover,2,3,33.9110936228,-84.5299954873,300.176,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034050625402980,12024,1633034050599999905,gpsRover,2,3,33.9110936257,-84.5299954845,300.178,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034050671265241,12025,1633034050650000095,gpsRover,2,3,33.9110936173,-84.5299954928,300.178,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034050721290878,12026,1633034050700000048,gpsRover,2,3,33.9110936012,-84.529995494,300.178,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034050771261138,12027,1633034050750000000,gpsRover,2,3,33.911093619,-84.5299954788,300.172,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034050821216300,12028,1633034050799999952,gpsRover,2,3,33.9110936037,-84.5299954682,300.172,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034050871121150,12029,1633034050849999905,gpsRover,2,3,33.9110936037,-84.5299954753,300.17,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034050921202784,12030,1633034050900000095,gpsRover,2,3,33.9110936013,-84.5299954495,300.171,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034050971074994,12031,1633034050950000048,gpsRover,2,3,33.9110936138,-84.529995445,300.166,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034051021107959,12032,1633034051000000000,gpsRover,2,3,33.9110935842,-84.5299954412,300.172,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034051086939858,12033,1633034051049999952,gpsRover,2,3,33.9110935928,-84.5299954193,300.17,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034051121887744,12034,1633034051099999905,gpsRover,2,3,33.9110936018,-84.5299954417,300.168,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034051172385478,12035,1633034051150000095,gpsRover,2,3,33.9110935793,-84.5299954462,300.171,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034051220978036,12036,1633034051200000048,gpsRover,2,3,33.9110935777,-84.529995432,300.167,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034051271106285,12037,1633034051250000000,gpsRover,2,3,33.9110935953,-84.5299954553,300.167,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034051320805711,12038,1633034051299999952,gpsRover,2,3,33.9110935857,-84.5299954532,300.17,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034051370837603,12039,1633034051349999905,gpsRover,2,3,33.9110935815,-84.5299954777,300.171,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034051420795915,12040,1633034051400000095,gpsRover,2,3,33.9110935967,-84.529995478,300.171,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034051470660073,12041,1633034051450000048,gpsRover,2,3,33.9110935995,-84.5299954203,300.173,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034051521810435,12042,1633034051500000000,gpsRover,2,3,33.9110936068,-84.5299954178,300.168,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034051570630958,12043,1633034051549999952,gpsRover,2,3,33.9110936243,-84.5299953985,300.168,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034051624812396,12044,1633034051599999905,gpsRover,2,3,33.911093621,-84.5299953875,300.167,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034051671650902,12045,1633034051650000095,gpsRover,2,3,33.9110936133,-84.5299954285,300.168,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034051720519459,12046,1633034051700000048,gpsRover,2,3,33.911093617,-84.5299954733,300.171,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034051770422556,12047,1633034051750000000,gpsRover,2,3,33.911093604,-84.5299954555,300.173,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034051820535938,12048,1633034051799999952,gpsRover,2,3,33.9110936093,-84.5299954363,300.173,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034051870506827,12049,1633034051849999905,gpsRover,2,3,33.9110935945,-84.529995448,300.174,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034051921435139,12050,1633034051900000095,gpsRover,2,3,33.9110935875,-84.529995445,300.174,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034051970601149,12051,1633034051950000048,gpsRover,2,3,33.9110935893,-84.5299954528,300.175,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034052021348795,12052,1633034052000000000,gpsRover,2,3,33.9110935945,-84.5299954623,300.172,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034052087362257,12053,1633034052049999952,gpsRover,2,3,33.9110935935,-84.5299954697,300.178,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034052122331954,12054,1633034052099999905,gpsRover,2,3,33.9110936203,-84.529995474,300.173,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034052171640365,12055,1633034052150000095,gpsRover,2,3,33.9110936165,-84.5299955107,300.175,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034052220258362,12056,1633034052200000048,gpsRover,2,3,33.9110936117,-84.529995507,300.174,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034052271246957,12057,1633034052250000000,gpsRover,2,3,33.9110935977,-84.5299955052,300.175,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034052321397173,12058,1633034052299999952,gpsRover,2,3,33.9110936042,-84.5299955,300.172,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034052371114466,12059,1633034052349999905,gpsRover,2,3,33.9110936108,-84.5299955067,300.173,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034052421131224,12060,1633034052400000095,gpsRover,2,3,33.9110936168,-84.5299955092,300.175,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034052470120193,12061,1633034052450000048,gpsRover,2,3,33.9110936032,-84.529995488,300.174,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
1633034052522015450,12062,1633034052500000000,gpsRover,2,3,33.9110936028,-84.5299954787,300.172,3.6e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.000225,2
